,ECC,PCI,EFR,SRLN,FUN,ETP,EPD,ETP Pfd,MPLX,BXMT,LTSF,TBC,WRB.PRD,Brazil,Argy,Argentina,TIP,T-Bill
Weights,0.049524328,0.031088348,0.057387324,0.4,0.006667093,0.011518566,0.01862356,0.006637644,0.01868758,0.006553137,0.000929232,0.014295134,0.001899872,0,0,0.25,0.272648784,0.44
Return,0.113463094,0.085560885,0.060085835,0.048294852,0.101073345,0.059104886,0.07625,0.07054525,0.064469394,0.075471699,0.07,0.056,0.0575,0.042022646,0.091431534,0.060191698,0.011368783,0.027058095
Stdev,0.121235266,0.156923788,0.128575693,0.03687655,0.241399208,0.180633151,0.132950957,0.076867716,0.205283333,0.073302847,0.122099677,0.032715524,0.056968933,0.203859924,0.173565084,0.157732704,0.005078219,0.002726465
